date_confirm,province,new_cases,imported_cases,new_cases_wo_imported
2020-01-16T00:00:00Z,hubei,4,0,4
2020-01-17T00:00:00Z,hubei,17,0,17
2020-01-18T00:00:00Z,hubei,59,0,59
2020-01-19T00:00:00Z,hubei,77,0,77
2020-01-20T00:00:00Z,hubei,72,0,72
2020-01-21T00:00:00Z,hubei,105,0,105
2020-01-22T00:00:00Z,hubei,69,0,69
2020-01-23T00:00:00Z,hubei,105,0,105
2020-01-24T00:00:00Z,hubei,180,0,180
2020-01-25T00:00:00Z,hubei,323,0,323
2020-01-26T00:00:00Z,hubei,371,0,371
2020-01-27T00:00:00Z,hubei,1291,0,1291
2020-01-28T00:00:00Z,hubei,840,0,840
2020-01-29T00:00:00Z,hubei,1032,0,1032
2020-01-30T00:00:00Z,hubei,1220,0,1220
2020-01-31T00:00:00Z,hubei,1347,0,1347
2020-02-01T00:00:00Z,hubei,1921,0,1921
2020-02-02T00:00:00Z,hubei,2103,0,2103
2020-02-03T00:00:00Z,hubei,2345,0,2345
2020-02-04T00:00:00Z,hubei,3156,0,3156
2020-02-05T00:00:00Z,hubei,2987,0,2987
2020-02-06T00:00:00Z,hubei,2447,0,2447
2020-02-07T00:00:00Z,hubei,2841,0,2841
2020-02-08T00:00:00Z,hubei,2147,0,2147
2020-02-09T00:00:00Z,hubei,2618,0,2618
2020-02-10T00:00:00Z,hubei,2097,0,2097
2020-02-11T00:00:00Z,hubei,1638,0,1638
2020-02-12T00:00:00Z,hubei,14840,0,14840
2020-02-13T00:00:00Z,hubei,4823,0,4823
2020-02-14T00:00:00Z,hubei,2420,0,2420
2020-02-15T00:00:00Z,hubei,1843,0,1843
2020-02-16T00:00:00Z,hubei,1933,0,1933
2020-02-17T00:00:00Z,hubei,1807,0,1807
2020-02-18T00:00:00Z,hubei,1693,0,1693
2020-02-19T00:00:00Z,hubei,775,0,775
2020-02-20T00:00:00Z,hubei,631,0,631
2020-02-21T00:00:00Z,hubei,366,0,366
2020-02-22T00:00:00Z,hubei,630,0,630
2020-02-23T00:00:00Z,hubei,398,0,398
2020-02-24T00:00:00Z,hubei,499,0,499
2020-02-25T00:00:00Z,hubei,401,0,401
2020-02-26T00:00:00Z,hubei,409,0,409
2020-02-27T00:00:00Z,hubei,318,0,318
2020-02-28T00:00:00Z,hubei,423,0,423
2020-02-29T00:00:00Z,hubei,570,0,570
2020-03-01T00:00:00Z,hubei,196,0,196
2020-03-02T00:00:00Z,hubei,114,0,114
2020-03-03T00:00:00Z,hubei,115,0,115
2020-03-04T00:00:00Z,hubei,134,0,134
2020-03-05T00:00:00Z,hubei,126,0,126
2020-03-06T00:00:00Z,hubei,74,0,74
2020-03-07T00:00:00Z,hubei,41,0,41
2020-03-08T00:00:00Z,hubei,36,0,36
2020-03-09T00:00:00Z,hubei,17,0,17
2020-03-10T00:00:00Z,hubei,13,0,13
