date_confirm,hubei,guangdong,zhejiang,henan,hunan,chongqing,anhui,shandong,beijing,sichuan,fujian,jiangxi,jiangsu,shanghai,guangxi,shaanxi,yunnan,hainan,liaoning,hebei,heilongjiang,tianjin,shanxi,gansu,inner_mongolia,ningxia,xinjiang,guizhou,jilin,qinghai,tibet,hong_kong_sar,macau_sar
2020-01-16T00:00:00Z,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17T00:00:00Z,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-18T00:00:00Z,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-19T00:00:00Z,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20T00:00:00Z,72,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21T00:00:00Z,105,12,5,1,1,5,0,1,5,2,0,2,0,7,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1
2020-01-22T00:00:00Z,69,6,5,4,3,4,1,1,4,3,1,1,1,7,5,0,0,4,2,1,1,2,1,0,0,1,0,3,1,0,0,0,0
2020-01-23T00:00:00Z,105,21,20,4,5,18,14,7,12,10,4,4,4,4,8,3,1,1,2,1,2,1,0,2,1,1,2,0,2,0,0,1,1
2020-01-24T00:00:00Z,180,25,19,23,15,30,24,12,10,13,5,11,9,13,10,2,3,5,8,6,6,3,5,2,1,1,1,1,1,0,0,3,0
2020-01-25T00:00:00Z,323,20,42,51,45,18,21,18,15,16,8,18,17,7,10,10,6,10,5,5,6,2,3,3,5,1,1,1,0,1,0,0,0
2020-01-26T00:00:00Z,371,48,24,45,31,35,10,22,16,25,17,12,16,13,13,7,10,7,5,5,6,5,4,7,4,3,1,2,2,3,0,3,3
2020-01-27T00:00:00Z,1291,42,45,40,43,22,36,26,13,21,24,24,23,13,5,13,11,11,5,15,9,8,7,5,2,4,5,2,2,2,0,0,2
2020-01-28T00:00:00Z,840,53,123,38,78,15,46,34,16,18,23,37,29,14,7,11,19,5,9,15,7,2,7,5,3,1,3,0,1,0,0,0,0
2020-01-29T00:00:00Z,1032,70,132,72,56,18,48,24,16,34,19,53,30,21,20,17,19,3,3,17,6,2,8,2,2,5,1,3,5,0,1,2,0
2020-01-30T00:00:00Z,1220,82,109,74,55,41,37,33,20,36,19,78,39,27,9,24,10,3,6,17,16,5,4,4,2,4,3,3,0,2,0,2,0
2020-01-31T00:00:00Z,1347,127,62,70,57,32,60,24,24,30,24,47,34,25,13,15,11,8,15,14,21,2,8,6,3,5,1,14,3,0,0,1,0
2020-02-01T00:00:00Z,1921,85,62,71,74,24,43,23,27,24,15,47,34,24,11,15,8,6,4,8,15,11,9,5,3,2,3,9,6,1,0,1,0
2020-02-02T00:00:00Z,2103,79,63,73,58,38,68,21,32,23,20,59,35,16,16,12,10,7,6,9,23,4,10,11,7,3,3,8,8,4,0,1,1
2020-02-03T00:00:00Z,2345,114,105,109,72,37,72,24,16,28,15,85,37,15,12,14,8,9,4,13,39,14,8,5,4,3,5,10,11,2,0,0,0
